Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	CheckM completeness	CheckM completeness percentile	CheckM contamination	Assembly Release Date
GCF_947251865.1	Wolbachia endosymbiont (group B) of Protocalliphora azurea	2954051	PRJEB57024	SAMEA111432219	idProAzur1.Wolbachia_sp_2.1			PacBio,Illumina	1	1550351	291.0x	DTOL	99.45	100		2022-11-04
GCF_947250605.1	Wolbachia endosymbiont (group B) of Pyrgus malvae	2954052	PRJEB56971	SAMEA111432220	ilPyrMalv3.Wolbachia_sp_1.1			PacBio,Illumina	1	1544873	254.0x	DTOL	99.09	100	0.73	2022-11-02
GCF_947250615.1	Wolbachia endosymbiont (group B) of Rhopobota naevana	2954054	PRJEB57013	SAMEA111432222	ilRhoNaev1.Wolbachia_sp_1.1			PacBio,Illumina	1	1771989	13.0x	DTOL	99.09	100	0.36	2022-11-02
GCF_947251505.1	Wolbachia endosymbiont (group B) of Thymelicus sylvestris	2954062	PRJEB56960	SAMEA111432231	ilThySylv1.Wolbachia_sp_1.1			PacBio,Illumina	1	1286255	960.0x	DTOL	99.45	100	0.36	2022-11-04
GCF_947250655.1	Wolbachia endosymbiont (group B) of Watsonalla binaria	2954066	PRJEB56986	SAMEA111432236	ilWatBina1.Wolbachia_sp_1.1			PacBio,Illumina	1	1651335	218.0x	DTOL	99.45	100		2022-11-02
GCF_947250675.1	Wolbachia endosymbiont (group B) of Xestia c-nigrum	2954067	PRJEB57016	SAMEA111432237	ilXesCnig1.Wolbachia_sp_1.1			PacBio,Illumina	1	1372377	106.0x	DTOL	99.45	100	0.36	2022-11-02
GCF_017896245.1	Wolbachia endosymbiont of Aedes aegypti	546165	PRJNA695307	SAMN17611332	ASM1789624v1			Illumina MiSeq; Oxford Nanopore Technologies MinION	1	1267786	94.2x		99.09	100		2021-04-10
GCF_017896265.1	Wolbachia endosymbiont of Aedes aegypti	546165	PRJNA695307	SAMN17611331	ASM1789626v1			Illumina MiSeq; Oxford Nanopore Technologies MinION	1	1267763	56.7x		99.09	100		2021-04-10
GCF_017896285.1	Wolbachia endosymbiont of Aedes aegypti	546165	PRJNA695307	SAMN17611334	ASM1789628v1			Illumina MiSeq; Oxford Nanopore Technologies MinION	1	1267775	90.8x		99.09	100		2021-04-10
GCF_017896305.1	Wolbachia endosymbiont of Aedes aegypti	546165	PRJNA695307	SAMN17611333	ASM1789630v1			Illumina MiSeq; Oxford Nanopore Technologies MinION	1	1267770	79.4x		99.09	100		2021-04-10
GCF_017896325.1	Wolbachia endosymbiont of Aedes aegypti	546165	PRJNA695307	SAMN17611335	ASM1789632v1			Illumina MiSeq; Oxford Nanopore Technologies MinION	1	1267783	97.7x		99.09	100		2021-04-10
GCF_017896345.1	Wolbachia endosymbiont of Aedes aegypti	546165	PRJNA695307	SAMN17611330	ASM1789634v1			Illumina MiSeq; Oxford Nanopore Technologies MinION	1	1267783	129.8x		99.09	100		2021-04-10
GCF_017896365.1	Wolbachia endosymbiont of Aedes aegypti	546165	PRJNA695307	SAMN17611329	ASM1789636v1			Illumina MiSeq; Oxford Nanopore Technologies MinION	1	1267801	128.9x		99.09	100		2021-04-10
GCF_024804185.1	Wolbachia endosymbiont of Aedes albopictus	167957	PRJNA852408	SAMN29328645	ASM2480418v1		missing	Illumina MiSeq; Oxford Nanopore MinION	3	1226577	454.0x		99.09	100	0.09	2022-08-31
GCF_042182995.1	Wolbachia endosymbiont of Anurida maritima	2850562	PRJNA860916	SAMN29629756	MDX_Wolbachia_wAnu_v1			Oxford Nanopore MinION	1	1375523	26.0x		96	100	1.45	2024-09-25
GCF_040207875.1	Wolbachia endosymbiont of Armadillidium arcangelii	3158571	PRJNA1097794	SAMN41568051	EBI_wArc_BXR23	wArc	wArc	Oxford Nanopore MinION; Illumina NovaSeq	1	1711820	100.0x		98.85	100		2024-06-20
GCF_004795935.1	Wolbachia endosymbiont of Brugia malayi	80849	PRJNA508212	SAMN10519683	ASM479593v1			PacBio RSII	1	1080064	78.0x		96.29	50		2019-04-16
GCF_012030695.1	Wolbachia endosymbiont of Brugia pahangi	96495	PRJNA393873	SAMN14437413	ASM1203069v1			PacBio; Illumina HiSeq 2500; Oxford Nanopore	1	1072967	332.0x		97.39	100		2020-04-05
GCF_006542295.1	Wolbachia endosymbiont of Carposina sasakii	2591635	PRJNA550963	SAMN12136010	ASM654229v1			PacBio	1	1449344	110.0x		99.09	100	0.09	2019-07-02
GCF_008245065.1	Wolbachia endosymbiont of Chrysomya megacephala	1335053	PRJNA385248	SAMN06885781	ASM824506v1			PacBio	1	1376868	290.0x		99.45	100	1.82	2019-09-03
GCF_020995475.1	Wolbachia endosymbiont of Corcyra cephalonica	218111	PRJNA780222	SAMN23133155	ASM2099547v1			Illumina NovaSeq; PacBio Sequel	3	1381884	923.0x		99.09	100	0.85	2021-11-29
GCF_013365475.1	Wolbachia endosymbiont of Cruorifilaria tuberocauda	1812111	PRJNA593581	SAMN13482046	ASM1336547v1	55YT	55YT	PacBio RSII	1	863988	60.0x		92.24	100		2020-06-22
GCF_012277315.1	Wolbachia endosymbiont of Ctenocephalides felis wCfeJ	2732594	PRJNA622233	SAMN14530437	ASM1227731v1			PacBio RSII	1	1201647	290.0x		98	100	0.09	2020-04-14
GCF_012277295.1	Wolbachia endosymbiont of Ctenocephalides felis wCfeT	2732593	PRJNA622233	SAMN14530457	ASM1227729v1	wCfeT	wCfeT	PacBio RSII	1	1495538	290.0x		97.77	100	1.45	2020-04-14
GCF_021609905.1	Wolbachia endosymbiont of Delia radicum	502352	PRJNA655405	SAMN25041563	ASM2160990v1			PacBio Sequel; Illumina HiSeq	1	1586584	55.0x		98.91	100		2022-01-26
GCF_013458815.1	Wolbachia endosymbiont of Diaphorina citri	116598	PRJNA544530	SAMN12136689	ASM1345881v1			PacBio Sequel; Oxford Nanopore GridION	1	1656288	676.0x		99.45	100	1.09	2020-07-22
GCF_019355235.1	Wolbachia endosymbiont of Diaphorina citri	116598	PRJNA603775	SAMN13940806	ASM1935523v1			PacBio Sequel	1	1515037	113.0x		95.09	57.142857	0.73	2021-07-27
GCF_019355355.1	Wolbachia endosymbiont of Diaphorina citri	116598	PRJNA603775	SAMN13940805	ASM1935535v1			PacBio Sequel	1	1528786	72.9x		95	28.571428	1.8	2021-07-27
GCF_019355375.1	Wolbachia endosymbiont of Diaphorina citri	116598	PRJNA603775	SAMN13940804	ASM1935537v1			PacBio Sequel	1	1515763	49.6x		94.36	14.285714	2.21	2021-07-27
GCF_013365495.1	Wolbachia endosymbiont of Dipetalonema caudispina	1812112	PRJNA593581	SAMN13482057	ASM1336549v1	362YU	362YU	Illumina; PacBio RSII	1	863427	300.0x		94.52	100		2020-06-22
GCF_013365455.1	Wolbachia endosymbiont of Dirofilaria (Dirofilaria) immitis	1812115	PRJNA593581	SAMN13482488	ASM1336545v1	FR3	FR3	PacBio Sequel	1	920122	280.0x		96.91	100		2020-06-22
GCF_032848195.1	Wolbachia endosymbiont of Drosophila aff. chauvacae BK-2020	3080329	PRJNA1021588	SAMN37567296	ASM3284819v1			Oxford Nanopore MinION	1	1244713	50.0x		99.09	100		2023-10-19
GCF_008033215.1	Wolbachia endosymbiont of Drosophila ananassae	307502	PRJNA393867	SAMN10261083	ASM803321v1	W2.1	W2.1	Illumina MiSeq, Oxford Nanopore	1	1401460	1240.0x		99.09	100		2019-08-20
GCF_021378375.1	Wolbachia endosymbiont of Drosophila innubila	282263	PRJNA661092	SAMN18306550	ASM2137837v1			Oxford Nanopore MinION	1	1290587	15.0x		98.36	100		2022-01-06
GCF_004795975.1	Wolbachia endosymbiont of Drosophila mauritiana	109663	PRJNA508212	SAMN10519765	ASM479597v1	wMau	wMau	PacBio RSII	1	1273530	71.0x		98.73	100	0.36	2019-04-16
GCF_004795955.1	Wolbachia endosymbiont of Drosophila mauritiana	109663	PRJNA508212	SAMN10519763	ASM479595v1	wMau	wMau	PacBio RSII	1	1273527	44.0x		98	33.333332	0.36	2019-04-16
GCF_947533255.1	Wolbachia endosymbiont of Drosophila melanogaster	163164	PRJEB57437	SAMEA112128137	wMelPlus_assembly	wMelPlus	wMelPlus	MiSeq,MinION	1	1267850	2260.0x		99.09	100		2022-12-07
GCF_947538885.1	Wolbachia endosymbiont of Drosophila melanogaster	163164	PRJEB57437	SAMEA112128138	wMelCS112_assembly	wMelCS112	wMelCS112	MiSeq,MinION	1	1267849	2400.0x		99.09	100		2022-12-08
GCF_026015925.1	Wolbachia endosymbiont of Drosophila pseudotakahashii	375919	PRJNA889195	SAMN31233425	ASM2601592v1			PacBio Sequel	1	1308415	80.0x		98	100	0.27	2022-11-07
GCF_018467135.1	Wolbachia endosymbiont of Drosophila santomea	260917	PRJNA694504	SAMN17528249	ASM1846713v1	wSan	wSan	Illumina HiSeq and PacBio RSII	1	1409094			99.09	100	0.18	2021-05-24
GCF_018689955.1	Wolbachia endosymbiont of Drosophila simulans	77038	PRJNA694504	SAMN17528251	ASM1868995v1	wTei	wTei	Illumina HiSeq and PacBio RSII	1	1353394			99.09	80	0.18	2021-06-03
GCF_018690035.1	Wolbachia endosymbiont of Drosophila simulans	77038	PRJNA694504	SAMN17528248	ASM1869003v1	wMa	wMa	Illumina HiSeq and PacBio RSII	1	1273535			98.73	40	0.36	2021-06-03
GCF_018690095.1	Wolbachia endosymbiont of Drosophila simulans	77038	PRJNA694504	SAMN17528247	ASM1869009v1	wAu	wAu	Illumina HiSeq and PacBio RSII	1	1268455			99.09	80		2021-06-03
GCF_040084705.1	Wolbachia endosymbiont of Drosophila willistoni	295084	PRJNA1107195	SAMN41378260	2024-09-12		missing	Oxford Nanopore MinION	1	1268528	875.0x		99.09	100		2024-06-07
GCF_018467115.1	Wolbachia endosymbiont of Drosophila yakuba	260915	PRJNA694504	SAMN17528250	ASM1846711v1	wYak	wYak	Illumina HiSeq and PacBio RSII	1	1394392			99.09	100	0.18	2021-05-24
GCF_039540065.1	Wolbachia endosymbiont of Encarsia formosa	77125	PRJNA1035921	SAMN40976076	ASM3954006v1		missing	Illumina NovaSeq 6000; Pacbio Sequel II	1	1240520	243.0x		99.45	100	0.36	2024-05-08
GCF_001931755.2	Wolbachia endosymbiont of Folsomia candida	169402	PRJNA300838	SAMN04229547	ASM193175v2	Berlin	Berlin	PacBio	1	1801626	127.0x		97.27	100	1.45	2018-06-25
GCF_029856955.1	Wolbachia endosymbiont of Frankliniella intonsa	2902422	PRJNA835209	SAMN28095534	ASM2985695v1		missing	Oxford Nanopore MinION; Illumina HiSeq	1	1463884	100.0x		98.73	100	0.36	2023-04-24
GCF_025021925.1	Wolbachia endosymbiont of Howardula sp.	2916816	PRJNA804571	SAMN25759845	ASM2502192v1			Illumina NovaSeq; Oxford Nanopore MinION	1	553558	135.0x		83.29	100		2022-09-07
GCF_031205055.1	Wolbachia endosymbiont of Listronotus oregonensis	2969106	PRJNA857033	SAMN29600261	ASM3120505v1		missing	Oxford Nanopore MinION	1	1567375	100.0x		87.55	100	3.88	2023-09-06
GCF_013365435.1	Wolbachia endosymbiont of Litomosoides sigmodontis	80850	PRJNA593581	SAMN13482485	ASM1336543v1	wLsig	wLsig	PacBio Sequel	1	1045802	340.0x		97.18	50	0.36	2020-06-22
GCF_959347385.1	Wolbachia endosymbiont of Litomosoides sigmodontis	80850	PRJEB64425	SAMEA114066107	nxLitSigm11.Wolbachia_sp_1.1			PacBio	1	1045802	262.0x	tol	97.3	100	0.73	2023-07-20
GCF_025617515.1	Wolbachia endosymbiont of Oryzaephilus surinamensis	573241	PRJNA808838	SAMN16521157	ASM2561751v1	JKI-2014	JKI-2014	Illumina HiSeq; Oxford Nanopore MinION	1	1728764	186.0x		98.91	100	0.73	2022-10-07
GCF_023559125.1	Wolbachia endosymbiont of Ostrinia furnacalis	154048	PRJNA831588	SAMN27755317	ASM2355912v1	wFur	wFur	PacBio Sequel; Illumina NovaSeq	1	1321828	198.0x		99.09	100		2022-05-26
GCF_023559145.1	Wolbachia endosymbiont of Ostrinia scapulalis	183754	PRJNA831588	SAMN27755342	ASM2355914v1	wSca	wSca	PacBio Sequel II; Illumina NovaSeq	1	1320340	189.0x		99.09	100		2022-05-26
GCF_018141665.1	Wolbachia endosymbiont of Spodoptera picta	2769078	PRJNA659878	SAMN17207715	ASM1814166v1	Spic_B	Spic_B	Oxford Nanopore PromethION	1	1339720	531.0x		98.55	100		2021-04-27
GCF_017869285.1	Wolbachia endosymbiont of Wiebesia pumilae	2742717	PRJNA637974	SAMN15163053	ASM1786928v1			PacBio Sequel	1	1278697	20.0x		98.36	100	1.64	2021-04-08
GCF_032849005.1	Wolbachia endosymbiont of Zaprionus tsacasi	2603209	PRJNA1021588	SAMN37567295	ASM3284900v1			Oxford Nanopore MinION	1	1279110	50.0x		98.55	100		2023-10-19
GCF_007971685.1	Wolbachia pipientis	955	PRJNA557362	SAMN12414615	ASM797168v1	wMel_N25	wMel_N25	PacBio Sequel	1	1267781	125.0x		99.09	93.023254		2019-08-12
GCF_007972595.1	Wolbachia pipientis	955	PRJNA557362	SAMN12414621	ASM797259v1	wMel_I23	wMel_I23	PacBio Sequel	1	1269137	85.0x		99.09	93.023254		2019-08-12
GCF_007972745.1	Wolbachia pipientis	955	PRJNA557362	SAMN12414613	ASM797274v1	wMel_ZH26	wMel_ZH26	PacBio Sequel	1	1267436	137.0x		99.09	93.023254		2019-08-12
GCF_009732755.1	Wolbachia pipientis	955	PRJNA525573	SAMN11053861	ASM973275v1	wIrr	wIrr	PacBio and Illumina	1	1352354	2100.0x		99.09	93.023254		2019-12-05
GCF_017604245.1	Wolbachia pipientis	955	PRJNA713538	SAMN18341210	ASM1760424v1	wCin2USA1	wCin2USA1	Oxford Nanopore MinION	1	1538351	38.0x		99.09	93.023254		2021-03-29
GCF_030295095.1	Wolbachia pipientis	955	PRJDB13119	SAMD00445397	ASM3029509v1	wHm-t	wHm-t	PacBio RSII	1	1542158	100.0x		98.73	51.162792	0.73	2023-04-27
GCF_030295115.1	Wolbachia pipientis	955	PRJDB13119	SAMD00445400	ASM3029511v1	wHm-c	wHm-c	GridION	1	1447668	40.0x		98.36	32.55814	0.73	2023-04-27
GCF_004171285.1	Wolbachia pipientis wAlbB	1116230	PRJNA454708	SAMN09012283	ASM417128v1	wAlbB	wAlbB	PacBio	1	1484007	400.0x		98.55	39.534885	1.09	2019-02-12
GCF_016807805.1	Xanthobacter dioxanivorans	2528964	PRJNA523944	SAMN10992855	ASM1680780v1	YN2	YN2	PacBio	5	6650762	221.0x		86	100	6.4	2021-02-04
GCF_021730305.1	Xanthobacter sp. YC-JY1	2419844	PRJNA494041	SAMN10147848	ASM2173030v1	YC-JY1	YC-JY1	PacBio	1	5392410	341.0x		95.8	100	1.62	2022-01-31
GCF_009931595.1	Xanthomonas albilineans	29447	PRJNA575611	SAMN12905433	ASM993159v1	Xa-FJ1	Xa-FJ1	PacBio RSII; Illumina HiSeq	2	3756117	206.0x		88.46	100	2.77	2020-01-27
GCF_030864095.1	Xanthomonas albilineans	29447	PRJNA792816	SAMN24462203	ASM3086409v1	Xa21	Xa21	Oxford Nanopore MiniION	1	3959098	1200.0x		87.43	9.090909	3.27	2023-08-23
GCF_030864115.1	Xanthomonas albilineans	29447	PRJNA792816	SAMN24462202	ASM3086411v1	Xa11	Xa11	Oxford Nanopore MiniION	1	3908432	417.0x		87.96	22.727272	3.02	2023-08-23
GCF_030864135.1	Xanthomonas albilineans	29447	PRJNA792816	SAMN24462201	ASM3086413v1	Xa04	Xa04	Oxford Nanopore MiniION	1	3785042	1500.0x		87.56	13.636364	2.53	2023-08-23
GCF_007724205.1	Xanthomonas arboricola	56448	PRJNA556104	SAMN12340781	ASM772420v1	SL2098	SL2098	PacBio RSII	1	5018196	237.4x		99.01	56.038647	1.38	2019-07-31
GCF_022930885.1	Xanthomonas arboricola	56448	PRJNA794208	SAMN24618835	ASM2293088v1	YchA	YchA	Nanopore; Illumina	1	4874974	246.0x		99.41	75.36232	0.25	2022-04-12
GCF_040201965.2	Xanthomonas arboricola	56448	PRJNA991976	SAMN40354551	ASM4020196v2	WHRI 5708	WHRI 5708	Illumina NovaSeq; Oxford Nanopore PromethION	1	4896868	300.0x		99.66	86.95652	0.91	2024-09-12
GCF_018141705.1	Xanthomonas arboricola pv. corylina	487821	PRJNA661460	SAMN16058545	ASM1814170v1	A7	A7	PacBio RSII; Illumina HiSeq	1	5166498	515.0x		99.19	63.768116	0.37	2021-04-27
GCF_023374975.1	Xanthomonas arboricola pv. corylina	487821	PRJNA736035	SAMN19606589	ASM2337497v1	IVIA 3978	IVIA 3978	Illumina NovaSeq; PacBio RSII	2	5081220	137.0x		99.72	95.652176	0.9	2022-05-16
GCF_023374995.1	Xanthomonas arboricola pv. corylina	487821	PRJNA736573	SAMN19654001	ASM2337499v1	CFBP 1846	CFBP 1846	Illumina NovaSeq; PacBio RSII	1	5223792	151.0x		99.72	95.652176	0.81	2022-05-16
GCF_041228085.2	Xanthomonas arboricola pv. corylina	487821	PRJNA1127218	SAMN41996496	NCPPB935v2_ONT	NCPPB 935	NCPPB 935	Illumina NovaSeq; Oxford Nanopore PromethION	1	5226816	280.0x		99.64	85.99034	0.69	2024-09-11
GCF_023375035.1	Xanthomonas arboricola pv. juglandis	195709	PRJNA736723	SAMN19658355	ASM2337503v1	IVIA 1317	IVIA 1317	Illumina NovaSeq; PacBio RSII	1	5271558	152.0x		99.47	82.1256	1.16	2022-05-16
GCF_023375055.1	Xanthomonas arboricola pv. juglandis	195709	PRJNA736725	SAMN19658716	ASM2337505v1	IVIA 2499	IVIA 2499	Illumina NovaSeq; PacBio RSII	1	5272621	110.0x		99.47	82.1256	1.16	2022-05-16
GCF_040201855.2	Xanthomonas arboricola pv. juglandis	195709	PRJNA991976	SAMN40354550	ASM4020185v2	WHRI 5692A	WHRI 5692A	Illumina NovaSeq; Oxford Nanopore PromethION	2	5182574	300.0x		99.54	83.57488	1.52	2024-09-12
GCF_008761555.1	Xanthomonas arboricola pv. pruni	69929	PRJNA573813	SAMN12826228	ASM876155v1	15-088	15-088	PacBio RSII	1	5141998	25.0x		98.75	42.99517	0.75	2019-10-01
GCF_020002335.2	Xanthomonas arboricola pv. pruni	69929	PRJNA762221	SAMN21380559	ASM2000233v2	R1	R1	Oxford Nanopore MinION	3	5168364	60.0x		98.25	21.73913	0.75	2022-01-24
GCF_020043425.2	Xanthomonas arboricola pv. pruni	69929	PRJNA762226	SAMN21380708	ASM2004342v2	T1	T1	Oxford Nanopore MinION	3	5173682	60.0x		97.59	13.043478	0.75	2022-01-31
GCF_021733585.2	Xanthomonas arboricola pv. pruni	69929	PRJNA796325	SAMN24847855	ASM2173358v3	Xcp1	Xcp1	PacBio; Illumina	2	5154582	23.0x		98.82	47.342995	0.75	2022-05-05
GCF_023375015.1	Xanthomonas arboricola pv. pruni	69929	PRJNA736578	SAMN19654031	ASM2337501v1	IVIA 2626.1	IVIA 2626.1	Illumina NovaSeq; PacBio RSII	2	5147463	121.0x		98.59	27.536232	0.75	2022-05-16
GCF_023375075.1	Xanthomonas arboricola pv. pruni	69929	PRJNA737276	SAMN19686937	ASM2337507v1	CITA 33	CITA 33	Illumina NovaSeq; PacBio RSII	2	5128209	122.0x		98.7	32.36715	0.75	2022-05-16
GCF_041464225.1	Xanthomonas arboricola pv. pruni	69929	PRJNA1127218	SAMN41996497	NCPPB416v1_ONT	NCPPB 416	NCPPB 416	Illumina NovaSeq; Oxford Nanopore PromethION	3	5310583	300.0x		98.16	20.289856	0.75	2024-08-28
GCF_041475655.1	Xanthomonas axonopodis pv. cajani	487827	PRJNA1131453	SAMN42284474	NCPPB2063v1_ONT	NCPPB 2063	NCPPB 2063	Illumina NovaSeq; Oxford Nanopore PromethION	4	5242443	335.0x		96.85	46.153847	0.66	2024-08-29
GCF_041519365.1	Xanthomonas axonopodis pv. cassiae	473405	PRJNA1129911	SAMN42178452	NCPPB645v1_ONT	NCPPB 645	NCPPB 645	Illumina NovaSeq; Oxford Nanopore PromethION	2	5128352	450.0x		98	79.48718	1.42	2024-08-29
GCF_003698225.1	Xanthomonas axonopodis pv. commiphoreae	1101443	PRJNA298623	SAMN04145216	ASM369822v1	LMG 26789	LMG 26789	Illumina MiSeq; Nanopore MinION	2	4799653	124.0x		96.78	43.589745	1.47	2018-10-30
GCF_041462925.1	Xanthomonas axonopodis pv. cyamopsidis	473407	PRJNA1130018	SAMN42180201	NCPPB3758v1_ONT	NCPPB 3758	NCPPB 3758	Illumina NovaSeq; Oxford Nanopore PromethION	4	4999452	300.0x		95.57	30.76923	1.26	2024-08-28
GCF_041463595.1	Xanthomonas axonopodis pv. cyamopsidis	473407	PRJNA1130018	SAMN42180202	NCPPB637v1_ONT	NCPPB 637	NCPPB 637	Illumina NovaSeq; Oxford Nanopore PromethION	3	5033138	300.0x		95.73	35.897434	0.99	2024-08-28
GCF_041464215.1	Xanthomonas axonopodis pv. desmodiigangetici	473409	PRJNA742925	SAMN42278567	NCPPB577v1_ONT	NCPPB 577	NCPPB 577	Illumina NovaSeq; Oxford Nanopore PromethION	1	4949408	300.0x		97.91	71.79487	0.89	2024-08-28
GCF_041475625.1	Xanthomonas axonopodis pv. desmodiilaxiflori	487829	PRJNA742925	SAMN42278568	NCPPB3086v1_ONT	NCPPB 3086	NCPPB 3086	Illumina NovaSeq; Oxford Nanopore PromethION	4	5121263	240.0x		98.1	82.051285	0.92	2024-08-29
GCF_041464115.1	Xanthomonas axonopodis pv. desmodiirotundifolii	473410	PRJNA742925	SAMN42278569	NCPPB885v1_ONT	NCPPB 885	NCPPB 885	Illumina NovaSeq; Oxford Nanopore PromethION	1	4961365	300.0x		97.74	58.974358	0.97	2024-08-28
GCF_041492255.1	Xanthomonas axonopodis pv. maculifoliigardeniae	487832	PRJNA1131460	SAMN42284547	NCPPB971v1_ONT	NCPPB 971	NCPPB 971	Illumina NovaSeq; Oxford Nanopore PromethION	1	4874443	300.0x		98.78	100	1.05	2024-08-29
GCF_041519315.1	Xanthomonas axonopodis pv. maculifoliigardeniae	487832	PRJNA1131460	SAMN42284548	NCPPB972v1_ONT	NCPPB 972	NCPPB 972	Illumina NovaSeq; Oxford Nanopore PromethION	2	4919079	335.0x		98.78	100	1.1	2024-08-29
GCF_041464165.1	Xanthomonas axonopodis pv. patelii	473413	PRJNA742925	SAMN42280122	NCPPB840v1_ONT	NCPPB 840	NCPPB 840	Illumina NovaSeq; Oxford Nanopore PromethION	2	5032255	300.0x		97.74	58.974358	0.97	2024-08-28
GCF_041464105.1	Xanthomonas axonopodis pv. phyllanthi	473414	PRJNA742925	SAMN42278573	NCPPB2066_v1_ONT	NCPPB 2066	NCPPB 2066	Illumina NovaSeq; Oxford Nanopore PromethION	2	5368158	300.0x		97.88	69.23077	1.64	2024-08-28
GCF_041484315.1	Xanthomonas axonopodis pv. poinsettiicola	375353	PRJNA1129913	SAMN42178461	NCPPB1939v1_ONT	NCPPB:1939	NCPPB:1939	Illumina NovaSeq; Oxford Nanopore PromethION	1	5389326	300.0x		93.15	20.512821	4.11	2024-08-29
GCF_041486685.1	Xanthomonas axonopodis pv. poinsettiicola	375353	PRJNA1129913	SAMN42178463	NCPPB581_v2_ONT	NCPPB:581	NCPPB:581	Illumina NovaSeq; Oxford Nanopore PromethION	2	4994144	300.0x		98.31	87.17949	1.22	2024-08-29
GCF_041489455.1	Xanthomonas axonopodis pv. poinsettiicola	375353	PRJNA1129913	SAMN42178462	NCPPB3948v1_ONT	NCPPB:3948	NCPPB:3948	Illumina NovaSeq; Oxford Nanopore PromethION	3	5147669	300.0x		98.38	89.74359	2.07	2024-08-29
GCF_041461625.1	Xanthomonas axonopodis pv. ricini	473415	PRJNA1129907	SAMN42178445	NCPPB2369_ONT	NCPPB 2369	NCPPB 2369	Illumina NovaSeq; Oxford Nanopore PromethION	4	5037527	300.0x		98.66	94.871796	1.21	2024-08-28
GCF_041462375.1	Xanthomonas axonopodis pv. ricini	473415	PRJNA1129907	SAMN42178444	NCPPB1684_ONT	NCPPB 1684	NCPPB 1684	Illumina NovaSeq; Oxford Nanopore PromethION	4	5374548	300.0x		97.8	64.10256	2.09	2024-08-28
GCF_041463965.1	Xanthomonas axonopodis pv. ricini	473415	PRJNA1129907	SAMN42178440	NCPPB535_ONT	NCPPB 535	NCPPB 535	Illumina NovaSeq; Oxford Nanopore PromethION	3	5233534	300.0x		98.39	92.30769	1.78	2024-08-28
GCF_041466645.1	Xanthomonas axonopodis pv. tamarindi	473416	PRJNA742925	SAMN42278574	NCPPB584v1_ONT	NCPPB 584	NCPPB 584	Illumina NovaSeq; Oxford Nanopore PromethION	3	5045850	300.0x		97.45	51.28205	1.23	2024-08-28
GCF_013177355.1	Xanthomonas axonopodis pv. vasculorum	325777	PRJNA629348	SAMN14772551	ASM1317735v1	NCPPB 796	NCPPB 796	Oxford Nanopore MiniION; Illumina MiSeq	3	4886779	100.0x		84.31	12.820513	0.66	2020-05-27
GCF_014841015.1	Xanthomonas campestris	339	PRJNA664929	SAMN16237388	ASM1484101v1	M28	M28	Illumina; Oxford Nanopore MinION	1	5102828	176.0x		96.88	5.7315235	0.93	2020-10-04
GCF_028749585.1	Xanthomonas campestris	339	PRJNA689092	SAMN17198954	ASM2874958v1	5053	5053	PacBio Sequel	1	5039897	756.0x		98.5	30.467571	2.95	2023-02-21
GCF_028749625.1	Xanthomonas campestris	339	PRJNA689092	SAMN17198952	ASM2874962v1	CFBP5824	CFBP5824	PacBio Sequel	1	5128631	737.0x		97.87	16.138763	1.12	2023-02-21
GCF_028750075.1	Xanthomonas campestris	339	PRJNA689092	SAMN17198931	ASM2875007v1	11-19	11-19	PacBio Sequel	1	5177110	400.0x		97.53	8.144796	1.4	2023-02-21
GCF_028750135.1	Xanthomonas campestris	339	PRJNA689092	SAMN17198928	ASM2875013v1	3054	3054	PacBio Sequel	3	5058430	223.0x		97.98	17.043741	2.34	2023-02-21
GCF_028750335.1	Xanthomonas campestris	339	PRJNA689092	SAMN17198925	ASM2875033v1	10-16	10-16	PacBio Sequel	1	4993951	398.0x		97.84	15.987933	1.26	2023-02-21
GCF_030053615.1	Xanthomonas campestris	339	PRJNA967242	SAMN34582449	ASM3005361v1	GBBC 3077	GBBC 3077	Oxford Nanopore MinION	1	5125370	45.0x		98.07	17.797888	1.48	2023-05-21
GCF_030053635.1	Xanthomonas campestris	339	PRJNA967242	SAMN34582448	ASM3005363v1	GBBC 3139	GBBC 3139	Oxford Nanopore MinION	1	4986542	88.0x		94.34	2.2624435	0.72	2023-05-21
GCF_030062415.1	Xanthomonas campestris	339	PRJNA962283	SAMN34393976	ASM3006241v1	YX	YX	Oxford Nanopore PromethION; MGISEQ-2000	1	5088826	589.0x		99.2	72.54902	0.84	2023-05-22
GCF_030062435.1	Xanthomonas campestris	339	PRJNA962283	SAMN34393975	ASM3006243v1	TJ	TJ	Oxford Nanopore PromethION; MGISEQ-2000	2	5170182	558.0x		99.38	86.12368	1.51	2023-05-22
GCF_030062465.1	Xanthomonas campestris	339	PRJNA962283	SAMN34393974	ASM3006246v1	JN	JN	Oxford Nanopore PromethION; MGISEQ-2000	1	5124023	585.0x		99.34	84.31373	1.21	2023-05-22
GCF_030062515.1	Xanthomonas campestris	339	PRJNA962283	SAMN34393973	ASM3006251v1	DX	DX	Oxford Nanopore PromethION; MGISEQ-2000	1	5127125	585.0x		99.4	93.96682	1.21	2023-05-22
